Publisher Title,Publisher Name,Views,Visits,Period Name
Stockport Primary Care Trust,stockport-primary-care-trust,100,22,all
Independent Living Fund,independent-living-fund,100,20,all
Devon County Council,devon-county-council,99,28,all
NHS Hull,nhs-hull,99,4,all
Newham Primary Care Trust,newham-primary-care-trust,99,10,all
University College London Hospital NHS Foundation Trust,university-college-london-hospital-nhs-foundation-trust,99,20,all
Criminal Injuries Compensation Authority,criminal-injuries-compensation-authority,99,30,all
North West Specialised Commissioning Team,north-west-specialised-commissioning-team,97,34,all
Hull City Council,hull-city-council,96,27,all
NHS Great Yarmouth and Waveney CCG,nhs-great-yarmouth-and-waveney-ccg,96,4,all
Manchester Primary Care Trust,manchester-primary-care-trust,96,28,all
Ryedale District Council,ryedale-district-council,96,17,all
Lincolnshire Partnership NHS Foundation Trust,lincolnshire-partnership-nhs-foundation-trust,96,18,all
Horniman Public Museum & Public Park Trust,horniman-public-museum-public-park-trust,96,13,all
Football Licensing Authority,football-licensing-authority,95,17,all
North Yorkshire and York Primary Care Trust,north-yorkshire-and-york-primary-care-trust,95,11,all
St Austell Town Council,st-austell-town-council,94,9,all
Aylesbury Vale District Council,aylesbury-vale-district-council,94,5,all
NHS East Riding of Yorkshire,nhs-east-riding-of-yorkshire,94,9,all
Liverpool Primary Care Trust,liverpool-primary-care-trust,93,10,all
Prisons and Probation Ombudsman,prisons-and-probation-ombudsman,93,28,all
Southampton City Council,southampton-city-council,92,23,all
NHS Hampshire,nhs-hampshire,92,12,all
NHS East of England Strategic Health Authority,nhs-east-of-england-strategic-health-authority,92,4,all
Luton Borough Council,luton-borough-council,91,29,all
Fire Service College,fire-service-college,91,24,all
Southport and Ormskirk Hospital NHS Trust,southport-and-ormskirk-hospital-nhs-trust,91,16,all
NHS Bournemouth & Poole,nhs-bournemouth-poole,91,22,all
Hartlepool Primary Care Trust,hartlepool-primary-care-trust,90,9,all
Sunderland Teaching Primary Care Trust,sunderland-teaching-primary-care-trust,90,5,all
HM Crown Prosecution Service Inspectorate,hm-crown-prosecution-service-inspectorate,90,7,all
NHS Wiltshire CCG,nhs-wiltshire-ccg,90,0,all
Derbyshire Community Health Services,derbyshire-community-health-services,90,6,all
Barts and The London NHS Trust,barts-and-the-london-nhs-trust,89,12,all
NHS Nottingham North & East CCG,nhs-nottingham-north-east-ccg,89,20,all
North East Ambulance Service NHS Trust,north-east-ambulance-service-nhs-trust,89,17,all
Cafcass,cafcass,89,11,all
Sandwell & West Birmingham Hospitals NHS Trust,sandwell-west-birmingham-hospitals-nhs-trust,89,14,all
NHS South West,nhs-south-west,89,11,all
Birmingham and Solihull Mental Health NHS Foundation Trust,birmingham-and-solihull-mental-health-nhs-foundation-trust,89,13,all
NHS Brighton and Hove CCG,nhs-brighton-and-hove-ccg,88,0,all
Nottingham University Hospitals NHS Trust,nottingham-university-hospitals-nhs-trust,88,25,all
NHS County Durham,nhs-county-durham,88,6,all
London Borough of Barnet,london-borough-of-barnet,88,4,all
Northampton Borough Council,northampton-borough-council,88,8,all
Leeds Teaching Hospitals NHS Trust,leeds-teaching-hospitals-nhs-trust,87,35,all
West Northamptonshire Development Corporation,west-northamptonshire-development-corporation,87,18,all
Visit England,visit-england,86,19,all
NHS North West,nhs-north-west,86,2,all
The Shrewsbury and Telford Hospital NHS Trust,the-shrewsbury-and-telford-hospital-nhs-trust,86,27,all
Worcestershire Primary Care Trust,worcestershire-primary-care-trust,86,1,all
The Churches Conservation Trust,the-churches-conservation-trust,85,8,all
Tower Hamlets PCT,tower-hamlets-pct,85,8,all
Leicester City Council,leicester-city-council,83,2,all
Oldham Primary Care Trust,oldham-primary-care-trust,82,0,all
Maidstone and Tunbridge Wells NHS Trust,maidstone-and-tunbridge-wells-nhs-trust,82,26,all
UK Space Agency,uk-space-agency,82,21,all
City and Hackney Primary Care Trust,city-and-hackney-primary-care-trust,82,20,all
Alder Hey Children's NHS Foundation Trust,alder-hey-childrens-nhs-foundation-trust,82,18,all
Sandwell Primary Care Trust,sandwell-primary-care-trust,82,6,all
Independent Safeguarding Authority,independent-safeguarding-authority,82,26,all
NHS Central Lancashire,nhs-central-lancashire,82,8,all
Appointments Commission,appointments-commission,81,7,all
NHS West Sussex,nhs-west-sussex,81,2,all
Government Car and Despatch Agency,government-car-and-despatch-agency,81,39,all
Scottish Prison Service,scottish-prison-service,81,29,all
Pensions Ombudsman,pensions-ombudsman,79,20,all
NHS Stockport CCG,nhs-stockport-ccg,79,22,all
The Genome Analysis Centre,the-genome-analysis-centre,79,42,all
Firebuy,firebuy,79,3,all
Colchester Hospital University NHS Foundation Trust,colchester-hospital-university-nhs-foundation-trust,79,9,all
Blackburn with Darwen Council,blackburn-with-darwen-council,79,32,all
Bridgewater Community Healthcare NHS Trust,bridgewater-community-healthcare-nhs-trust,78,16,all
NHS Derby City,nhs-derby-city,78,7,all
Portsmouth City Primary Care Trust,portsmouth-city-primary-care-trust,78,7,all
The Royal Wolverhampton Hospitals NHS Trust,the-royal-wolverhampton-hospitals-nhs-trust,77,9,all
Skills for Care,skills-for-care,77,28,all
Calderdale Metropolitan Borough Council,calderdale-metropolitan-borough-council,77,3,all
Doncaster PCT,doncaster-pct,77,1,all
Swindon Primary Care Trust,swindon-primary-care-trust,76,17,all
City of York Council,city-of-york-council,76,7,all
Royal Air Force Museum,royal-air-force-museum,76,17,all
St George's Healthcare NHS Trust,st-george-s-healthcare-nhs-trust,76,13,all
Local Government Boundary Commission for England,local-government-boundary-commission-for-england,75,7,all
Shropshire County Primary Care Trust,shropshire-county-primary-care-trust,75,15,all
"Wrightington, Wigan & Leigh NHS Foundation Trust",wrightington-wigan-leigh-nhs-foundation-trust,74,9,all
Royal Borough of Kensington and Chelsea,royal-borough-of-kensington-and-chelsea,73,4,all
Manchester Mental Health and Social Care Trust,manchester-mental-health-and-social-care-trust,73,36,all
North Tyneside Primary Care Trust,north-tyneside-primary-care-trust,73,7,all
Public Lending Right,public-lending-right,72,2,all
School Food Trust,school-food-trust,72,25,all
NHS Central Manchester CCG,nhs-central-manchester-ccg,71,4,all
National Survey for Wales,national-survey-for-wales,71,21,all
Shropshire Community Health NHS Trust,shropshire-community-health-nhs-trust,71,3,all
NHS Salford CCG,nhs-salford-ccg,71,11,all
Heart of Birmingham teaching Primary Care Trust,heart-of-birmingham-teaching-primary-care-trust,71,4,all
Royal United Hospital Bath NHS Trust,royal-united-hospital-bath-nhs-trust,70,34,all
Sussex Community NHS Trust,sussex-community-nhs-trust,70,15,all
Isle of Wight NHS Trust,isle-of-wight-nhs-trust,70,11,all
Newham University Hospital NHS Trust,newham-university-hospital-nhs-trust,69,22,all
Hambleton District Council,hambleton-district-council,69,10,all
London Borough of Waltham Forest,london-borough-of-waltham-forest,69,11,all
East Midlands Strategic Health Authority,east-midlands-strategic-health-authority,69,14,all
Birmingham East and North Primary Care Trust,birmingham-east-and-north-primary-care-trust,69,5,all
Rotherham Metropolitan District Council,rotherham-metropolitan-district-council,68,28,all
UK Film Council,uk-film-council,68,34,all
NHS Erewash CCG,nhs-erewash-ccg,67,1,all
Liverpool Heart and Chest Hospital NHS Foundation Trust,liverpool-heart-and-chest-hospital-nhs-foundation-trust,67,8,all
London Borough of Harrow,london-borough-of-harrow,67,14,all
Office for Fair Access,office-for-fair-access,67,1,all
Human Tissue Authority,human-tissue-authority,66,20,all
NHS Ashford CCG,nhs-ashford-ccg,66,8,all
Kingston Primary Care Trust,kingston-primary-care-trust,65,7,all
North East Lincolnshire Care Trust Plus,north-east-lincolnshire-care-trust-plus,65,6,all
NHS Canterbury and Coastal CCG,nhs-canterbury-and-coastal-ccg,65,11,all
NHS South Manchester CCG,nhs-south-manchester-ccg,65,12,all
Qualifications and Curriculum Development Agency,qualifications-and-curriculum-development-agency,65,13,all
Plymouth Hospitals NHS Trust,plymouth-hospitals-nhs-trust,65,8,all
Royal College of Paediatrics & Child Health,royal-college-of-paediatrics-child-health,64,7,all
Judicial Appointments Commission,judicial-appointments-commission,64,31,all
South Birmingham Primary Care Trust,south-birmingham-primary-care-trust,64,4,all
Learning and Skills Council/Skills Funding Agency,learning-and-skills-council-skills-funding-agency,64,11,all
West Sussex County Council,west-sussex-county-council,63,14,all
Wolverhampton City Primary Care Trust,wolverhampton-city-primary-care-trust,63,12,all
NHS Mansfield and Ashfield CCG,nhs-mansfield-and-ashfield-ccg,63,5,all
NHS Cheshire and Merseyside Commissioning Support Unit,nhs-cheshire-and-merseyside-commissioning-support-unit,62,4,all
Birmingham Children's NHS Foundation Trust,birmingham-childrens-nhs-foundation-trust,62,2,all
University Hospitals of North Staffordshire,university-hospitals-of-north-staffordshire,62,6,all
NHS Devon,nhs-devon,62,1,all
West Somerset District Council,west-somerset-district-council,62,1,all
Bassetlaw District Council,bassetlaw-district-council,62,2,all
Dacorum Borough Council,dacorum-borough-council,61,24,all
Brighton and Hove City Council,brighton-and-hove-city-council,61,9,all
NHS Sefton,nhs-sefton,61,17,all
South Norfolk District Council,south-norfolk-district-council,61,6,all
Heart of England NHS Foundation Trust,heart-of-england-nhs-foundation-trust,61,15,all
Middlesbrough Primary Care Trust,middlesbrough-primary-care-trust,61,6,all
Regional Development Agencies,regional-development-agencies,61,12,all
East Cheshire NHS Trust,east-cheshire-nhs-trust,61,15,all
One North East,one-north-east,60,6,all
NHS Liverpool CCG,nhs-liverpool-ccg,60,8,all
West and South Yorkshire and Bassetlaw Commissioning Support Unit,west-and-south-yorkshire-and-bassetlaw-commissioning-support-unit,60,34,all
Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,robert-jones-and-agnes-hunt-orthopaedic-hospital-nhs-foundation-trust,60,43,all
Consumer Focus,consumer-focus,59,17,all
Engineering Construction Industry Training Board,engineering-construction-industry-training-board,59,4,all
NHS Bristol,nhs-bristol,59,11,all
The Queen Elizabeth II Conference Centre,the-queen-elizabeth-ii-conference-centre,59,26,all
Tonbridge and Malling Borough Council,tonbridge-and-malling-borough-council,59,5,all
Salisbury NHS Foundation Trust,salisbury-nhs-foundation-trust,59,15,all
North East Strategic Health Authority,north-east-strategic-health-authority,58,5,all
South East Essex Primary Care Trust,south-east-essex-primary-care-trust,58,2,all
The National Museum of the Royal Navy,the-national-museum-of-the-royal-navy,58,1,all
Leasehold Advisory Service,leasehold-advisory-service,58,10,all
Southampton University Hospitals NHS Trust,southampton-university-hospitals-nhs-trust,57,7,all
Redcar & Cleveland Primary Care Trust,redcar-cleveland-primary-care-trust,57,7,all
South Tyneside Primary Care Trust,south-tyneside-primary-care-trust,57,4,all
Darlington Borough Council,darlington-borough-council,57,22,all
Judicial Office,judicial-office,57,9,all
NHS Southern Derbyshire CCG,nhs-southern-derbyshire-ccg,57,7,all
North Warwickshire Borough Council,north-warwickshire-borough-council,56,8,all
South Central Strategic Health Authority,south-central-strategic-health-authority,55,0,all
London Borough of Hackney,london-borough-of-hackney,55,9,all
Ealing Primary Care Trust,ealing-primary-care-trust,55,8,all
Bedford Borough Council,bedford-borough-council,55,15,all
Bromley PCT,bromley-pct,55,9,all
University Hospitals of Leicester NHS Trust,university-hospitals-of-leicester-nhs-trust,55,5,all
The Royal Marsden NHS Foundation Trust,the-royal-marsden-nhs-foundation-trust,54,18,all
Basingstoke and Deane Borough Council,basingstoke-and-deane-borough-council,53,9,all
The Institute of Food Research,the-institute-of-food-research,53,20,all
National Patient Safety Agency,national-patient-safety-agency,53,14,all
NHS Walsall,nhs-walsall,52,13,all
London Borough of Lambeth,london-borough-of-lambeth,52,19,all
Warrington Primary Care Trust,warrington-primary-care-trust,51,2,all
Babergh District Council,babergh-district-council,51,8,all
Gloucester City Council,gloucester-city-council,51,8,all
Great Western Ambulance Service NHS Trust,great-western-ambulance-service-nhs-trust,51,8,all
New Forest National Park Authority,new-forest-national-park,51,3,all
Winchester and Eastleigh Healthcare NHS Trust,winchester-and-eastleigh-healthcare-nhs-trust,51,3,all
British Educational Communications and Technology Agency,british-educational-communications-and-technology-agency,51,14,all
Lewes District Council,lewes-district-council,50,7,all
NHS Rushcliffe CCG,nhs-rushcliffe-ccg,50,2,all
North Lancashire Teaching PCT,north-lancashire-teaching-pct,50,19,all
Standards for England,standards-for-england,49,10,all
The Pensions Advisory Service,the-pensions-advisory-service,49,10,all
Craven District Council,craven-district-council,49,6,all
NHS Somerset,nhs-somerset,49,2,all
Postal Services Commission,postal-services-commission,49,8,all
Gedling Borough Council,gedling-borough-council,48,11,all
Isle of Wight NHS Primary Care Trust,isle-of-wight-nhs-primary-care-trust,48,5,all
"Ashton, Leigh and Wigan Community Healthcare NHS Trust",ashton-leigh-and-wigan-community-healthcare-nhs-trust,48,4,all
London Borough of Bexley,london-borough-of-bexley,48,8,all
London Borough of Redbridge,london-borough-of-redbridge,47,19,all
Oxfordshire Primary Care Trust,oxfordshire-primary-care-trust,47,8,all
NHS Hillingdon,nhs-hillingdon,47,4,all
The John Innes Centre,the-john-innes-centre,47,22,all
London Borough of Bromley,london-borough-of-bromley,47,4,all
Leicestershire Partnership NHS Trust,leicestershire-partnership-nhs-trust,47,14,all
Nottinghamshire Healthcare NHS Trust,nottinghamshire-healthcare-nhs-trust,47,12,all
NHS Fylde and Wyre CCG,nhs-fylde-and-wyre-ccg,46,8,all
Oxfordshire Learning Disability NHS Trust,oxfordshire-learning-disability-nhs-trust,46,4,all
The Ipswich Hospital NHS Trust,the-ipswich-hospital-nhs-trust,46,11,all
East Cambridgeshire District Council,east-cambridgeshire-district-council,46,5,all
Blaby District Council,blaby-district-council,46,9,all
Stockton-on-Tees Borough Council,stockton-on-tees-borough-council,46,22,all
NHS Plymouth,nhs-plymouth,46,6,all
London Borough of Islington,london-borough-of-islington,46,16,all
Wyre Borough Council,wyre-borough-council,45,3,all
Marshall Aid Commemoration Commission,marshall-aid-commemoration-commission,45,5,all
NHS North Manchester CCG,nhs-north-manchester-ccg,45,11,all
NHS Doncaster CCG,nhs-doncaster-ccg,44,7,all
Committee on Climate Change,committee-on-climate-change,44,8,all
NHS Surrey,nhs-surrey,44,6,all
CDC,community-development-corporation,44,10,all
London Borough of Westminster,london-borough-of-westminster,44,4,all
NHS Tameside & Glossop,nhs-tameside-glossop,44,1,all
South East Coast Ambulance Service,south-east-coast-ambulance-service,44,5,all
NHS Barnsley CCG,nhs-barnsley-ccg,44,1,all
Dartford and Gravesham NHS Trust,dartford-and-gravesham-nhs-trust,43,3,all
West Midlands Ambulance Service NHS Trust,west-midlands-ambulance-service-nhs-trust,43,11,all
Medway Primary Care Trust,medway-primary-care-trust,43,4,all
NHS South East Coast,nhs-south-east-coast,43,1,all
Coventry & Warwickshire Partnership NHS Trust,coventry-warwickshire-partnership-nhs-trust,43,0,all
Harlow Council,harlow-council,43,6,all
NHS Greater Preston CCG,nhs-greater-preston-ccg,43,4,all
NHS Blackpool CCG,nhs-blackpool-ccg,42,2,all
Yorkshire Ambulance Service NHS Trust,yorkshire-ambulance-service-nhs-trust,42,9,all
South Central Ambulance Service NHS Trust,south-central-ambulance-service-nhs-trust,42,21,all
Defence Academy of the United Kingdom,defence-academy-of-the-united-kingdom,42,17,all
Northumberland Care Trust,northumberland-care-trust,42,5,all
North Staffordshire Combined Healthcare NHS Trust,north-staffordshire-combined-healthcare-nhs-trust,41,7,all
Yorkshire Forward,yorkshire-forward,41,3,all
The Hillingdon Hospitals NHS Foundation Trust,the-hillingdon-hospitals-nhs-foundation-trust,41,7,all
Queen Victoria Hospital NHS Foundation Trust,queen-victoria-hospital-nhs-foundation-trust,41,6,all
NHS Warwickshire,nhs-warwickshire,41,7,all
The Geffrye Museum,the-geffrye-museum,41,9,all
London Borough of Camden,london-borough-of-camden,41,2,all
Christchurch Borough Council,christchurch-borough-council,41,5,all
NHS Nottingham West CCG,nhs-nottingham-west-ccg,40,2,all
NHS Solihull CCG,nhs-solihull-ccg,40,2,all
NHS Havering,nhs-havering,40,17,all
Great Yarmouth and Waveney Primary Care Trust,great-yarmouth-and-waveney-primary-care-trust,39,2,all
Ashford and St. Peter's Hospitals NHS Trust,ashford-and-st-peters-hospitals-nhs-trust,39,0,all
NHS Bradford City CCG,nhs-bradford-city-ccg,39,6,all
NHS Islington,nhs-islington,39,0,all
Dudley Primary Care Trust,dudley-primary-care-trust,39,10,all
Museums Libraries and Archives Council,museums-libraries-and-archives-council,38,1,all
London Borough of Merton,london-borough-of-merton,38,8,all
NHS Blackburn and Darwen CCG,nhs-blackburn-and-darwen-ccg,38,4,all
NHS Newark & Sherwood CCG,nhs-newark-sherwood-ccg,37,5,all
NHS North Derbyshire CCG,nhs-north-derbyshire-ccg,37,1,all
Lancashire Care NHS Foundation Trust,lancashire-care-nhs-foundation-trust,37,2,all
Queen Elizabeth II Conference Centre,queen-elizabeth-ii-conference-centre,37,2,all
NHS Oldham CCG,nhs-oldham-ccg,37,8,all
South Northamptonshire Council,south-northamptonshire-council,37,7,all
North Somerset Council,north-somerset-council,36,10,all
NHS Coastal West Sussex CCG,nhs-coastal-west-sussex-ccg,36,2,all
NHS Isle of Wight CCG,nhs-isle-of-wight-ccg,36,6,all
NHS Wigan Borough CCG,nhs-wigan-borough-ccg,36,2,all
Brent Primary Care Trust,brent-primary-care-trust,36,3,all
NHS Wirral,nhs-wirral,35,2,all
National Heritage Memorial Fund,national-heritage-memorial-fund,35,0,all
Boston Borough Council,boston-borough-council,35,5,all
Office of the Advocate General of Scotland,office-of-the-advocate-general-of-scotland,35,12,all
Corby Borough Council,corby-borough-council,35,8,all
NHS Berkshire East,nhs-berkshire-east,35,3,all
Wirral Council,wirral-council,35,11,all
NHS Bassetlaw CCG,nhs-bassetlaw-ccg,35,6,all
NHS Rotherham CCG,nhs-rotherham-ccg,34,5,all
NHS Bradford Districts CCG,nhs-bradford-districts-ccg,34,6,all
NHS Bath & North East Somerset PCT,nhs-bath-north-east-somerset-pct,34,4,all
Scarborough and North East Yorkshire Healthcare NHS Trust,scarborough-and-north-east-yorkshire-healthcare-nhs-trust,34,2,all
Milton Keynes Primary Care Trust,milton-keynes-primary-care-trust,34,7,all
Solihull Primary Care Trust,solihull-primary-care-trust,34,4,all
South West Essex PCT,south-west-essex-pct,34,0,all
Greater London Authority,greater-london-authority,34,7,all
Gloucestershire County Council,gloucestershire-county-council,33,2,all
Mid Staffordshire NHS Foundation Trust,mid-staffordshire-nhs-foundation-trust,33,3,all
NHS Trust Development Authority,nhs-trust-development-authority,33,5,all
South Staffordshire and Shropshire Healthcare NHS Foundation Trust,south-staffordshire-and-shropshire-healthcare-nhs-foundation-trust,32,8,all
NHS South Norfolk CCG,nhs-south-norfolk-ccg,32,2,all
Weston Area Health NHS Trust,weston-area-health-nhs-trust,32,6,all
NHS Sheffield CCG,nhs-sheffield-ccg,32,3,all
NHS Barking and Dagenham,nhs-barking-and-dagenham,32,5,all
NHS South Sefton CCG,nhs-south-sefton-ccg,32,7,all
Barnet Primary Care Trust,barnet-primary-care-trust,32,4,all
NHS Blackpool,nhs-blackpool,31,2,all
West Dorset District Council,west-dorset-district-council,31,6,all
Borough Council of King's Lynn & West Norfolk,borough-council-of-kings-lynn-west-norfolk,31,9,all
Blackburn with Darwen Care Trust Plus,blackburn-with-darwen-care-trust-plus,31,6,all
NHS Bolton,nhs-bolton,31,4,all
Society of Information Technology Management,society-of-information-technology-management,30,6,all
St Albans City and District Council,st-albans-city-and-district-council,30,3,all
Hartlepool Borough Council,hartlepool-borough-council,30,11,all
North Hertfordshire District Council,north-hertfordshire-district-council,30,3,all
Cumbria Primary Care Trust,cumbria-primary-care-trust,30,3,all
NHS East Lancashire CCG,nhs-east-lancashire-ccg,30,1,all
"NHS Ashton, Leigh and Wigan",nhs-ashton-leigh-and-wigan,30,3,all
NHS Southport and Formby CCG,nhs-southport-and-formby-ccg,30,0,all
United Kingdom Environmental Observation Monitoring Programmes,united-kingdom-environmental-observation-monitoring-programmes,29,18,all
Wolverton and Greenleys Town Council,wolverton-and-greenleys-town-council,29,9,all
Westminster Foundation for Democracy,westminster-foundation-for-democracy,28,2,all
Plymouth NHS Primary Care Trust,plymouth-nhs-primary-care-trust,28,4,all
"NHS Airedale, Wharfedale and Craven CCG",nhs-airedale-wharfedale-and-craven-ccg,28,5,all
University Hospitals of Morecambe Bay NHS Foundation Trust,university-hospitals-of-morecambe-bay-nhs-foundation-trust,28,8,all
Fareham Borough Council,fareham-borough-council,28,4,all
Tendring District Council,tendring-district-council,27,8,all
Wrexham County Borough Council,wrexham-county-borough-council,27,2,all
NHS Western Cheshire,nhs-western-cheshire,27,1,all
"NHS Eastbourne, Hailsham and Seaford CCG",nhs-eastbourne-hailsham-and-seaford-ccg,27,1,all
NHS Darlington,nhs-darlington,27,2,all
NHS North East Lincolnshire CCG,north-east-lincolnshire-ccg,27,0,all
NHS Leicester City,nhs-leicester-city,27,3,all
NHS Hardwick CCG,nhs-hardwick-ccg,26,1,all
NHS Chorley and South Ribble CCG,nhs-chorley-and-south-ribble-ccg,26,1,all
NHS West Lancashire CCG,nhs-west-lancashire-ccg,26,0,all
Cherwell District Council,cherwell-district-council,26,5,all
NHS Yorkshire and the Humber,nhs-yorkshire-and-the-humber,26,3,all
NHS Sandwell and West Birmingham CCG,nhs-sandwell-and-west-birmingham-ccg,25,1,all
Northumberland National Park Authority,northumberland-national-park-authority,25,1,all
NHS South Lincolnshire CCG,nhs-south-lincolnshire-ccg,25,3,all
Trafford Healthcare NHS Trust,trafford-healthcare-nhs-trust,24,2,all
NHS Dudley CCG,nhs-dudley-ccg,24,4,all
Hastings Borough Council,hastings-borough-council,23,1,all
Richmond and Twickenham Primary Care Trust,richmond-and-twickenham-primary-care-trust,23,2,all
Chorley Council,chorley-council,23,6,all
Scottish Consortium for Learning Disability,scottish-consortium-for-learning-disability,23,10,all
London Borough of Hillingdon,london-borough-of-hillingdon,23,7,all
NHS North East Essex,nhs-north-east-essex,23,3,all
NHS Telford & Wrekin,nhs-telford-wrekin,23,2,all
NHS Trafford,nhs-trafford,23,0,all
Independent Parliamentary Standards Authority,independent-parliamentary-standards-authority,23,4,all
Torfaen County Borough Council,torfaen-county-borough-council,23,5,all
Hereford Hospitals NHS Trust,hereford-hospitals-nhs-trust,23,1,all
NHS Hammersmith and Fulham,nhs-hammersmith-and-fulham,22,2,all
Newark and Sherwood District Council,newark-and-sherwood-district-council,22,4,all
NHS Birmingham Cross City CCG,nhs-birmingham-cross-city-ccg,22,0,all
Commonwealth Scholarship Commission in the UK,commonwealth-scholarship-commission-in-the-uk,22,3,all
Solihull Metropolitan Borough Council,solihull-metropolitan-borough-council,22,5,all
NHS Lancashire North CCG,nhs-lancashire-north-ccg,22,2,all
South Ribble Borough Council,south-ribble-borough-council,22,5,all
Newcastle City Council,newcastle-city-council,21,3,all
Buckinghamshire Primary Care Trust,buckinghamshire-primary-care-trust,21,2,all
Northern Ireland Cancer Registry,northern-ireland-cancer-registry,21,7,all
South Staffordshire Council,south-staffordshire-council,21,5,all
HM Inspectorate of Probation,hm-inspectorate-of-probation,21,3,all
Rushmoor Borough Council,rushmoor-borough-council,21,1,all
NHS Redbridge,nhs-redbridge,21,4,all
Standards and Testing Agency,standards-and-testing-agency,21,4,all
Merthyr Tydfil County Borough Council,merthyr-tydfil-county-borough-council,21,2,all
Worcestershire Mental Health Partnership NHS Trust,worcestershire-mental-health-partnership-nhs-trust,21,5,all
NHS Gloucestershire,nhs-gloucestershire,20,2,all
Chichester District Council,chichester-district-council,20,8,all
Southwark Primary Care Trust,southwark-primary-care-trust,20,1,all
Lincolnshire Primary Care Trust,lincolnshire-primary-care-trust,20,0,all
Wakefield District Primary Care Trust,wakefield-district-primary-care-trust,19,3,all
Enfield Primary Care Trust,enfield-primary-care-trust,19,0,all
NHS Coventry,nhs-coventry,19,6,all
Sevenoaks District Council,sevenoaks-district-council,19,2,all
Stockton Primary Care Trust,stockton-primary-care-trust,18,1,all
Surrey Heath Borough Council,surrey-heath-borough-council,18,5,all
NHS East Lancashire,nhs-east-lancashire,18,1,all
UK Anti-Doping,uk-anti-doping,18,0,all
Wakefield Metropolitan District Council,wakefield-metropolitan-district-council,18,1,all
General Register Office for Scotland,general-register-office-for-scotland,17,3,all
NHS High Weald Lewes Haven CCG,nhs-high-weald-lewes-haven-ccg,17,0,all
Bexley Care Trust,bexley-care-trust,17,4,all
Mid Sussex District Council,mid-sussex-district-council,17,4,all
NHS Bolton CCG,nhs-bolton-ccg,16,0,all
Air Accident Investigation Branch,air-accident-investigation-branch,16,0,all
Borough of Broxbourne,borough-of-broxbourne,16,3,all
Cheshire East Council,cheshire-east-council,16,0,all
NHS Eastern and Coastal Kent,nhs-eastern-and-coastal-kent,16,2,all
South Holland District Council,south-holland-district-council,16,6,all
NHS West Cheshire CCG,nhs-west-cheshire-ccg,16,1,all
St Edmundsbury Borough Council,st-edmundsbury-borough-council,16,4,all
South Cambridgeshire District Council,south-cambridgeshire-district-council,16,0,all
Stevenage Borough Council,stevenage-borough-council,16,3,all
Newquay Town Council,newquay-town-council,16,2,all
Torridge District Council,torridge-district-council,15,4,all
NHS Lincolnshire East CCG,nhs-lincolnshire-east-ccg,15,1,all
Royal Borough of Kingston upon Thames,royal-borough-of-kingston-upon-thames,15,5,all
Lambeth Primary Care Trust,lambeth-primary-care-trust,15,2,all
NHS Birmingham South and Central CCG,nhs-birmingham-south-and-central-ccg,14,0,all
North Yorkshire County Council,north-yorkshire-county-council,14,6,all
NHS South Gloucestershire,nhs-south-gloucestershire,14,1,all
Nottinghamshire County Teaching Primary Care Trust,nottinghamshire-county-teaching-primary-care-trust,13,2,all
NHS Vale of York,nhs-vale-of-york,13,1,all
NHS South West Lincolnshire CCG,nhs-south-west-lincolnshire-ccg,13,0,all
NHS Milton Keynes CCG,nhs-milton-keynes-ccg,13,2,all
NHS Bradford and Airedale,nhs-bradford-and-airedale,13,2,all
Marine Accident Investigation Branch,marine-accident-investigation-branch,13,2,all
Coventry Primary Care Trust,coventry-primary-care-trust,13,0,all
East Lindsey District Council,east-lindsey-district-council,13,1,all
NHS Hastings and Rother CCG,nhs-hastings-and-rother-ccg,13,0,all
Standards Board for England,standards-board-for-england,13,0,all
Local Better Regulation Office,local-better-regulation-office,12,1,all
West London Mental Health NHS Trust,west-london-mental-health-nhs-trust,12,1,all
NHS Wandsworth,nhs-wandsworth,12,0,all
NHS East and North Hertfordshire CCG,nhs-east-and-north-hertfordshire-ccg,12,1,all
NHS Warrington CCG,nhs-warrington-ccg,11,2,all
NHS Corby CCG,nhs-corby-ccg,11,0,all
Herefordshire Primary Care Trust,herefordshire-primary-care-trust,11,1,all
NHS St Helens CCG,nhs-st-helens-ccg,11,0,all
NHS East Cheshire CCG,nhs-east-cheshire-ccg,10,0,all
NHS Lincolnshire West CCG,nhs-lincolnshire-west-ccg,10,0,all
NHS Wirral CCG,nhs-wirral-ccg,10,0,all
NHS Harrow,nhs-harrow,10,1,all
Uttlesford District Council,uttlesford-district-council,10,4,all
NHS Nene CCG,nhs-nene-ccg,10,0,all
Cornwall and Isles of Scilly Community Health Services,cornwall-and-isles-of-scilly-community-health-services,9,1,all
Vale of Glamorgan Council,vale-of-glamorgan-council,8,3,all
Purbeck District Council,purbeck-district-council,8,1,all
NHS Dorset,nhs-dorset,8,1,all
Eden District Council,eden-district-council,7,1,all
North Staffordshire Shared Services,north-staffordshire-shared-services,7,0,all
NHS North and West Reading CCG,nhs-north-and-west-reading-ccg,7,0,all
Remploy Limited,remploy-limited,6,0,all
NHS Hull CCG,nhs-hull-ccg,6,1,all
NHS Scarborough and Ryedale CCG,nhs-scarborough-and-ryedale-ccg,6,0,all
"NHS Hambleton, Richmondshire and Whitby CCG",nhs-hambleton-richmondshire-and-whitby-ccg,5,1,all
NHS East Riding of Yorkshire CCG,nhs-east-riding-of-yorkshire-ccg,5,0,all
